,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/5/20,13,13,12,12,12,9,9,6,5,5,4,0,0,0,0
2/6/20,14,13,13,12,12,12,9,9,6,5,5,4,0,0,0
2/7/20,15,14,13,13,12,12,12,9,9,6,5,5,4,0,0
2/8/20,15,15,14,13,13,12,12,12,9,9,6,5,5,4,0
2/9/20,15,15,15,14,13,13,12,12,12,9,9,6,5,5,4
2/10/20,15,15,15,15,14,13,13,12,12,12,9,9,6,5,5
2/11/20,15,15,15,15,15,14,13,13,12,12,12,9,9,6,5
2/12/20,15,15,15,15,15,15,14,13,13,12,12,12,9,9,6
2/13/20,15,15,15,15,15,15,15,14,13,13,12,12,12,9,9
2/14/20,15,15,15,15,15,15,15,15,14,13,13,12,12,12,9
2/15/20,15,15,15,15,15,15,15,15,15,14,13,13,12,12,12
2/16/20,15,15,15,15,15,15,15,15,15,15,14,13,13,12,12
2/17/20,15,15,15,15,15,15,15,15,15,15,15,14,13,13,12
2/18/20,15,15,15,15,15,15,15,15,15,15,15,15,14,13,13
2/19/20,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13
2/20/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14
2/21/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/22/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/23/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/24/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/25/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/26/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/27/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/28/20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2/29/20,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15
3/1/20,27,25,15,15,15,15,15,15,15,15,15,15,15,15,15
3/2/20,30,27,25,15,15,15,15,15,15,15,15,15,15,15,15
3/3/20,39,30,27,25,15,15,15,15,15,15,15,15,15,15,15
3/4/20,52,39,30,27,25,15,15,15,15,15,15,15,15,15,15
3/5/20,55,52,39,30,27,25,15,15,15,15,15,15,15,15,15
3/6/20,60,55,52,39,30,27,25,15,15,15,15,15,15,15,15
3/7/20,63,60,55,52,39,30,27,25,15,15,15,15,15,15,15
3/8/20,76,63,60,55,52,39,30,27,25,15,15,15,15,15,15
3/9/20,91,76,63,60,55,52,39,30,27,25,15,15,15,15,15
3/10/20,107,91,76,63,60,55,52,39,30,27,25,15,15,15,15
3/11/20,128,107,91,76,63,60,55,52,39,30,27,25,15,15,15
3/12/20,128,128,107,91,76,63,60,55,52,39,30,27,25,15,15
3/13/20,200,128,128,107,91,76,63,60,55,52,39,30,27,25,15
3/14/20,250,200,128,128,107,91,76,63,60,55,52,39,30,27,25
3/15/20,297,250,200,128,128,107,91,76,63,60,55,52,39,30,27
3/16/20,377,297,250,200,128,128,107,91,76,63,60,55,52,39,30
3/17/20,452,377,297,250,200,128,128,107,91,76,63,60,55,52,39
3/18/20,568,452,377,297,250,200,128,128,107,91,76,63,60,55,52
3/19/20,681,568,452,377,297,250,200,128,128,107,91,76,63,60,55
3/20/20,791,681,568,452,377,297,250,200,128,128,107,91,76,63,60
3/21/20,1071,791,681,568,452,377,297,250,200,128,128,107,91,76,63
3/22/20,1549,1071,791,681,568,452,377,297,250,200,128,128,107,91,76
3/23/20,1682,1549,1071,791,681,568,452,377,297,250,200,128,128,107,91
3/24/20,2044,1682,1549,1071,791,681,568,452,377,297,250,200,128,128,107
3/25/20,2364,2044,1682,1549,1071,791,681,568,452,377,297,250,200,128,128
3/26/20,2810,2364,2044,1682,1549,1071,791,681,568,452,377,297,250,200,128
3/27/20,3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377,297,250,200
3/28/20,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377,297,250
3/29/20,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377,297
3/30/20,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377
3/31/20,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452
4/1/20,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568
4/2/20,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681
4/3/20,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791
4/4/20,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071
4/5/20,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549
4/6/20,5797,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682
4/7/20,5895,5797,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044
4/8/20,6010,5895,5797,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364
4/9/20,6108,6010,5895,5797,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810
4/10/20,6215,6108,6010,5895,5797,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143
4/11/20,6303,6215,6108,6010,5895,5797,5687,5550,5330,5116,4862,4559,4361,3984,3640
4/12/20,6315,6303,6215,6108,6010,5895,5797,5687,5550,5330,5116,4862,4559,4361,3984
