,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/5/20,12,12,12,10,8,5,4,4,4,1,0,0,0,0,0
2/6/20,12,12,12,12,10,8,5,4,4,4,1,0,0,0,0
2/7/20,13,12,12,12,12,10,8,5,4,4,4,1,0,0,0
2/8/20,13,13,12,12,12,12,10,8,5,4,4,4,1,0,0
2/9/20,14,13,13,12,12,12,12,10,8,5,4,4,4,1,0
2/10/20,14,14,13,13,12,12,12,12,10,8,5,4,4,4,1
2/11/20,16,14,14,13,13,12,12,12,12,10,8,5,4,4,4
2/12/20,16,16,14,14,13,13,12,12,12,12,10,8,5,4,4
2/13/20,16,16,16,14,14,13,13,12,12,12,12,10,8,5,4
2/14/20,16,16,16,16,14,14,13,13,12,12,12,12,10,8,5
2/15/20,16,16,16,16,16,14,14,13,13,12,12,12,12,10,8
2/16/20,16,16,16,16,16,16,14,14,13,13,12,12,12,12,10
2/17/20,16,16,16,16,16,16,16,14,14,13,13,12,12,12,12
2/18/20,16,16,16,16,16,16,16,16,14,14,13,13,12,12,12
2/19/20,16,16,16,16,16,16,16,16,16,14,14,13,13,12,12
2/20/20,16,16,16,16,16,16,16,16,16,16,14,14,13,13,12
2/21/20,16,16,16,16,16,16,16,16,16,16,16,14,14,13,13
2/22/20,16,16,16,16,16,16,16,16,16,16,16,16,14,14,13
2/23/20,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14
2/24/20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14
2/25/20,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2/26/20,27,17,16,16,16,16,16,16,16,16,16,16,16,16,16
2/27/20,46,27,17,16,16,16,16,16,16,16,16,16,16,16,16
2/28/20,48,46,27,17,16,16,16,16,16,16,16,16,16,16,16
2/29/20,79,48,46,27,17,16,16,16,16,16,16,16,16,16,16
3/1/20,130,79,48,46,27,17,16,16,16,16,16,16,16,16,16
3/2/20,159,130,79,48,46,27,17,16,16,16,16,16,16,16,16
3/3/20,196,159,130,79,48,46,27,17,16,16,16,16,16,16,16
3/4/20,262,196,159,130,79,48,46,27,17,16,16,16,16,16,16
3/5/20,482,262,196,159,130,79,48,46,27,17,16,16,16,16,16
3/6/20,670,482,262,196,159,130,79,48,46,27,17,16,16,16,16
3/7/20,799,670,482,262,196,159,130,79,48,46,27,17,16,16,16
3/8/20,1040,799,670,482,262,196,159,130,79,48,46,27,17,16,16
3/9/20,1176,1040,799,670,482,262,196,159,130,79,48,46,27,17,16
3/10/20,1457,1176,1040,799,670,482,262,196,159,130,79,48,46,27,17
3/11/20,1908,1457,1176,1040,799,670,482,262,196,159,130,79,48,46,27
3/12/20,2078,1908,1457,1176,1040,799,670,482,262,196,159,130,79,48,46
3/13/20,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159,130,79,48
3/14/20,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159,130,79
3/15/20,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159,130
3/16/20,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159
3/17/20,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196
3/18/20,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262
3/19/20,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482
3/20/20,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670
3/21/20,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799
3/22/20,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040
3/23/20,29056,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176
3/24/20,32986,29056,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457
3/25/20,37323,32986,29056,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908
3/26/20,43938,37323,32986,29056,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078
3/27/20,50871,43938,37323,32986,29056,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675
3/28/20,57695,50871,43938,37323,32986,29056,24873,22213,19848,15320,12327,9257,7272,5795,4585
3/29/20,62095,57695,50871,43938,37323,32986,29056,24873,22213,19848,15320,12327,9257,7272,5795
3/30/20,66885,62095,57695,50871,43938,37323,32986,29056,24873,22213,19848,15320,12327,9257,7272
3/31/20,71808,66885,62095,57695,50871,43938,37323,32986,29056,24873,22213,19848,15320,12327,9257
4/1/20,77872,71808,66885,62095,57695,50871,43938,37323,32986,29056,24873,22213,19848,15320,12327
4/2/20,84794,77872,71808,66885,62095,57695,50871,43938,37323,32986,29056,24873,22213,19848,15320
4/3/20,91159,84794,77872,71808,66885,62095,57695,50871,43938,37323,32986,29056,24873,22213,19848
4/4/20,96092,91159,84794,77872,71808,66885,62095,57695,50871,43938,37323,32986,29056,24873,22213
4/5/20,100123,96092,91159,84794,77872,71808,66885,62095,57695,50871,43938,37323,32986,29056,24873
4/6/20,103374,100123,96092,91159,84794,77872,71808,66885,62095,57695,50871,43938,37323,32986,29056
