,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/5/20,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
2/6/20,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
2/7/20,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0
2/8/20,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0
2/9/20,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0
2/10/20,8,3,3,3,2,2,2,2,2,2,2,0,0,0,0
2/11/20,8,8,3,3,3,2,2,2,2,2,2,2,0,0,0
2/12/20,9,8,8,3,3,3,2,2,2,2,2,2,2,0,0
2/13/20,9,9,8,8,3,3,3,2,2,2,2,2,2,2,0
2/14/20,9,9,9,8,8,3,3,3,2,2,2,2,2,2,2
2/15/20,9,9,9,9,8,8,3,3,3,2,2,2,2,2,2
2/16/20,9,9,9,9,9,8,8,3,3,3,2,2,2,2,2
2/17/20,9,9,9,9,9,9,8,8,3,3,3,2,2,2,2
2/18/20,9,9,9,9,9,9,9,8,8,3,3,3,2,2,2
2/19/20,9,9,9,9,9,9,9,9,8,8,3,3,3,2,2
2/20/20,9,9,9,9,9,9,9,9,9,8,8,3,3,3,2
2/21/20,9,9,9,9,9,9,9,9,9,9,8,8,3,3,3
2/22/20,9,9,9,9,9,9,9,9,9,9,9,8,8,3,3
2/23/20,9,9,9,9,9,9,9,9,9,9,9,9,8,8,3
2/24/20,13,9,9,9,9,9,9,9,9,9,9,9,9,8,8
2/25/20,13,13,9,9,9,9,9,9,9,9,9,9,9,9,8
2/26/20,13,13,13,9,9,9,9,9,9,9,9,9,9,9,9
2/27/20,15,13,13,13,9,9,9,9,9,9,9,9,9,9,9
2/28/20,20,15,13,13,13,9,9,9,9,9,9,9,9,9,9
2/29/20,23,20,15,13,13,13,9,9,9,9,9,9,9,9,9
3/1/20,36,23,20,15,13,13,13,9,9,9,9,9,9,9,9
3/2/20,40,36,23,20,15,13,13,13,9,9,9,9,9,9,9
3/3/20,51,40,36,23,20,15,13,13,13,9,9,9,9,9,9
3/4/20,86,51,40,36,23,20,15,13,13,13,9,9,9,9,9
3/5/20,116,86,51,40,36,23,20,15,13,13,13,9,9,9,9
3/6/20,164,116,86,51,40,36,23,20,15,13,13,13,9,9,9
3/7/20,207,164,116,86,51,40,36,23,20,15,13,13,13,9,9
3/8/20,274,207,164,116,86,51,40,36,23,20,15,13,13,13,9
3/9/20,322,274,207,164,116,86,51,40,36,23,20,15,13,13,13
3/10/20,384,322,274,207,164,116,86,51,40,36,23,20,15,13,13
3/11/20,459,384,322,274,207,164,116,86,51,40,36,23,20,15,13
3/12/20,459,459,384,322,274,207,164,116,86,51,40,36,23,20,15
3/13/20,802,459,459,384,322,274,207,164,116,86,51,40,36,23,20
3/14/20,1144,802,459,459,384,322,274,207,164,116,86,51,40,36,23
3/15/20,1145,1144,802,459,459,384,322,274,207,164,116,86,51,40,36
3/16/20,1551,1145,1144,802,459,459,384,322,274,207,164,116,86,51,40
3/17/20,1960,1551,1145,1144,802,459,459,384,322,274,207,164,116,86,51
3/18/20,2642,1960,1551,1145,1144,802,459,459,384,322,274,207,164,116,86
3/19/20,2716,2642,1960,1551,1145,1144,802,459,459,384,322,274,207,164,116
3/20/20,4014,2716,2642,1960,1551,1145,1144,802,459,459,384,322,274,207,164
3/21/20,5067,4014,2716,2642,1960,1551,1145,1144,802,459,459,384,322,274,207
3/22/20,5745,5067,4014,2716,2642,1960,1551,1145,1144,802,459,459,384,322,274
3/23/20,6726,5745,5067,4014,2716,2642,1960,1551,1145,1144,802,459,459,384,322
3/24/20,8164,6726,5745,5067,4014,2716,2642,1960,1551,1145,1144,802,459,459,384
3/25/20,9640,8164,6726,5745,5067,4014,2716,2642,1960,1551,1145,1144,802,459,459
3/26/20,11812,9640,8164,6726,5745,5067,4014,2716,2642,1960,1551,1145,1144,802,459
3/27/20,14745,11812,9640,8164,6726,5745,5067,4014,2716,2642,1960,1551,1145,1144,802
3/28/20,17312,14745,11812,9640,8164,6726,5745,5067,4014,2716,2642,1960,1551,1145,1144
3/29/20,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,2716,2642,1960,1551,1145
3/30/20,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,2716,2642,1960,1551
3/31/20,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,2716,2642,1960
4/1/20,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,2716,2642
4/2/20,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,2716
4/3/20,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014
4/4/20,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067
4/5/20,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745
4/6/20,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726
4/7/20,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164
4/8/20,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640
4/9/20,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812
4/10/20,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745
4/11/20,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312
4/12/20,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780
4/13/20,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453
4/14/20,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481
4/15/20,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865
4/16/20,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173
4/17/20,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689
4/18/20,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477
4/19/20,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436
4/20/20,125856,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279
4/21/20,130172,125856,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949
4/22/20,134638,130172,125856,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474
4/23/20,139246,134638,130172,125856,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872
4/24/20,144640,139246,134638,130172,125856,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605
4/25/20,149569,144640,139246,134638,130172,125856,121172,115314,109769,104145,99483,94845,89570,85206,79874
4/26/20,154037,149569,144640,139246,134638,130172,125856,121172,115314,109769,104145,99483,94845,89570,85206
4/27/20,158348,154037,149569,144640,139246,134638,130172,125856,121172,115314,109769,104145,99483,94845,89570
