,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/5/20,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1
2/6/20,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1
2/7/20,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2
2/8/20,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2
2/9/20,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5
2/10/20,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5
2/11/20,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5
2/12/20,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5
2/13/20,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5
2/14/20,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7
2/15/20,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8
2/16/20,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8
2/17/20,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11
2/18/20,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11
2/19/20,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11
2/20/20,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11
2/21/20,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11
2/22/20,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11
2/23/20,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11
2/24/20,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11
2/25/20,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12
2/26/20,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12
2/27/20,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13
2/28/20,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13
2/29/20,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13
3/1/20,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13
3/2/20,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13
3/3/20,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13
3/4/20,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13
3/5/20,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13
3/6/20,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15
3/7/20,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15
3/8/20,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15
3/9/20,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51
3/10/20,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51
3/11/20,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57
3/12/20,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58
3/13/20,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60
3/14/20,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68
3/15/20,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74
3/16/20,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98
3/17/20,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118
3/18/20,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149
3/19/20,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217
3/20/20,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262
3/21/20,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402
3/22/20,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518
3/23/20,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583
3/24/20,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959
3/25/20,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281
3/26/20,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663
3/27/20,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179
3/28/20,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727
3/29/20,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499
3/30/20,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632
3/31/20,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421
4/1/20,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783
4/2/20,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747
4/3/20,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273
4/4/20,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600
4/5/20,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276
4/6/20,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843
4/7/20,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736
4/8/20,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778
4/9/20,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836
4/10/20,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657
4/11/20,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465
4/12/20,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909
4/13/20,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831
4/14/20,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172
4/15/20,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242
4/16/20,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622
4/17/20,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367
4/18/20,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650
4/19/20,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802
4/20/20,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317
4/21/20,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121
4/22/20,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654
4/23/20,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780
4/24/20,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535
4/25/20,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396
4/26/20,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313
4/27/20,988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619
