Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
15,15,15,14,13,13,12,12,12,9,9,6,5,5,4
15,15,15,15,14,13,13,12,12,12,9,9,6,5,5
15,15,15,15,15,14,13,13,12,12,12,9,9,6,5
15,15,15,15,15,15,14,13,13,12,12,12,9,9,6
15,15,15,15,15,15,15,14,13,13,12,12,12,9,9
15,15,15,15,15,15,15,15,14,13,13,12,12,12,9
15,15,15,15,15,15,15,15,15,14,13,13,12,12,12
15,15,15,15,15,15,15,15,15,15,14,13,13,12,12
15,15,15,15,15,15,15,15,15,15,15,14,13,13,12
15,15,15,15,15,15,15,15,15,15,15,15,14,13,13
15,15,15,15,15,15,15,15,15,15,15,15,15,14,13
15,15,15,15,15,15,15,15,15,15,15,15,15,15,14
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,15,15,15,15,15,15,15,15,15,15,15,15,15,15
27,25,15,15,15,15,15,15,15,15,15,15,15,15,15
30,27,25,15,15,15,15,15,15,15,15,15,15,15,15
39,30,27,25,15,15,15,15,15,15,15,15,15,15,15
52,39,30,27,25,15,15,15,15,15,15,15,15,15,15
55,52,39,30,27,25,15,15,15,15,15,15,15,15,15
60,55,52,39,30,27,25,15,15,15,15,15,15,15,15
63,60,55,52,39,30,27,25,15,15,15,15,15,15,15
76,63,60,55,52,39,30,27,25,15,15,15,15,15,15
91,76,63,60,55,52,39,30,27,25,15,15,15,15,15
107,91,76,63,60,55,52,39,30,27,25,15,15,15,15
128,107,91,76,63,60,55,52,39,30,27,25,15,15,15
128,128,107,91,76,63,60,55,52,39,30,27,25,15,15
200,128,128,107,91,76,63,60,55,52,39,30,27,25,15
250,200,128,128,107,91,76,63,60,55,52,39,30,27,25
297,250,200,128,128,107,91,76,63,60,55,52,39,30,27
377,297,250,200,128,128,107,91,76,63,60,55,52,39,30
452,377,297,250,200,128,128,107,91,76,63,60,55,52,39
568,452,377,297,250,200,128,128,107,91,76,63,60,55,52
681,568,452,377,297,250,200,128,128,107,91,76,63,60,55
791,681,568,452,377,297,250,200,128,128,107,91,76,63,60
1071,791,681,568,452,377,297,250,200,128,128,107,91,76,63
1549,1071,791,681,568,452,377,297,250,200,128,128,107,91,76
1682,1549,1071,791,681,568,452,377,297,250,200,128,128,107,91
2044,1682,1549,1071,791,681,568,452,377,297,250,200,128,128,107
2364,2044,1682,1549,1071,791,681,568,452,377,297,250,200,128,128
2810,2364,2044,1682,1549,1071,791,681,568,452,377,297,250,200,128
3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377,297,250,200
3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377,297,250
3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377,297
4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452,377
4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568,452
4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681,568
5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791,681
5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071,791
5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549,1071
5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682,1549
5797,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044,1682
5895,5797,5687,5550,5330,5116,4862,4559,4361,3984,3640,3143,2810,2364,2044
