Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
14,14,13,13,12,12,12,12,10,8,5,4,4,4,1
16,14,14,13,13,12,12,12,12,10,8,5,4,4,4
16,16,14,14,13,13,12,12,12,12,10,8,5,4,4
16,16,16,14,14,13,13,12,12,12,12,10,8,5,4
16,16,16,16,14,14,13,13,12,12,12,12,10,8,5
16,16,16,16,16,14,14,13,13,12,12,12,12,10,8
16,16,16,16,16,16,14,14,13,13,12,12,12,12,10
16,16,16,16,16,16,16,14,14,13,13,12,12,12,12
16,16,16,16,16,16,16,16,14,14,13,13,12,12,12
16,16,16,16,16,16,16,16,16,14,14,13,13,12,12
16,16,16,16,16,16,16,16,16,16,14,14,13,13,12
16,16,16,16,16,16,16,16,16,16,16,14,14,13,13
16,16,16,16,16,16,16,16,16,16,16,16,14,14,13
16,16,16,16,16,16,16,16,16,16,16,16,16,14,14
16,16,16,16,16,16,16,16,16,16,16,16,16,16,14
17,16,16,16,16,16,16,16,16,16,16,16,16,16,16
27,17,16,16,16,16,16,16,16,16,16,16,16,16,16
46,27,17,16,16,16,16,16,16,16,16,16,16,16,16
48,46,27,17,16,16,16,16,16,16,16,16,16,16,16
79,48,46,27,17,16,16,16,16,16,16,16,16,16,16
130,79,48,46,27,17,16,16,16,16,16,16,16,16,16
159,130,79,48,46,27,17,16,16,16,16,16,16,16,16
196,159,130,79,48,46,27,17,16,16,16,16,16,16,16
262,196,159,130,79,48,46,27,17,16,16,16,16,16,16
482,262,196,159,130,79,48,46,27,17,16,16,16,16,16
670,482,262,196,159,130,79,48,46,27,17,16,16,16,16
799,670,482,262,196,159,130,79,48,46,27,17,16,16,16
1040,799,670,482,262,196,159,130,79,48,46,27,17,16,16
1176,1040,799,670,482,262,196,159,130,79,48,46,27,17,16
1457,1176,1040,799,670,482,262,196,159,130,79,48,46,27,17
1908,1457,1176,1040,799,670,482,262,196,159,130,79,48,46,27
2078,1908,1457,1176,1040,799,670,482,262,196,159,130,79,48,46
3675,2078,1908,1457,1176,1040,799,670,482,262,196,159,130,79,48
4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159,130,79
5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159,130
7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159
9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196
12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262
15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482
19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670
22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799
24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040
29056,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176
