Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434,941,654,555
30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434,941,654
34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434,941
37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434
40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118
42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927
44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578
45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166
60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234
66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927
69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038
71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787
73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881
75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892
75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635
76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794
76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391
78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120
78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150
79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762
80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802
81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221
82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368
84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885
86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030
88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224
90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258
92840,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136
95120,92840,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639
