Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
20,3,3,3,3,3,3,3,3,3,3,3,3,3,3
62,20,3,3,3,3,3,3,3,3,3,3,3,3,3
155,62,20,3,3,3,3,3,3,3,3,3,3,3,3
229,155,62,20,3,3,3,3,3,3,3,3,3,3,3
322,229,155,62,20,3,3,3,3,3,3,3,3,3,3
453,322,229,155,62,20,3,3,3,3,3,3,3,3,3
655,453,322,229,155,62,20,3,3,3,3,3,3,3,3
888,655,453,322,229,155,62,20,3,3,3,3,3,3,3
1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3
1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3
2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3
2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3
3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3
3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3
4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20
5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62
7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155
9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229
10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322
12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453
15113,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655
17660,15113,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888
21157,17660,15113,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128
24747,21157,17660,15113,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694
27980,24747,21157,17660,15113,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036
31506,27980,24747,21157,17660,15113,12462,10149,9172,7375,5883,4636,3858,3089,2502
35713,31506,27980,24747,21157,17660,15113,12462,10149,9172,7375,5883,4636,3858,3089
41035,35713,31506,27980,24747,21157,17660,15113,12462,10149,9172,7375,5883,4636,3858
47021,41035,35713,31506,27980,24747,21157,17660,15113,12462,10149,9172,7375,5883,4636
53578,47021,41035,35713,31506,27980,24747,21157,17660,15113,12462,10149,9172,7375,5883
59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,15113,12462,10149,9172,7375
63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,15113,12462,10149,9172
69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,15113,12462,10149
74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,15113,12462
80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,15113
86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660
92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157
97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747
101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980
105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506
110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713
115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035
119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021
124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578
128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138
132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927
135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176
139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386
143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589
147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498
152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472
156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689
159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739
162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792
165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574
168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242
172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827
175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632
178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948
181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547
183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586
187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422
189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626
192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577
195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271
197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363
199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516
