Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
19,16,15,15,12,11,4,4,4,4,3,2,2,1,1
23,19,16,15,15,12,11,4,4,4,4,3,2,2,1
24,23,19,16,15,15,12,11,4,4,4,4,3,2,2
24,24,23,19,16,15,15,12,11,4,4,4,4,3,2
25,24,24,23,19,16,15,15,12,11,4,4,4,4,3
27,25,24,24,23,19,16,15,15,12,11,4,4,4,4
28,27,25,24,24,23,19,16,15,15,12,11,4,4,4
28,28,27,25,24,24,23,19,16,15,15,12,11,4,4
28,28,28,27,25,24,24,23,19,16,15,15,12,11,4
28,28,28,28,27,25,24,24,23,19,16,15,15,12,11
28,28,28,28,28,27,25,24,24,23,19,16,15,15,12
29,28,28,28,28,28,27,25,24,24,23,19,16,15,15
30,29,28,28,28,28,28,27,25,24,24,23,19,16,15
31,30,29,28,28,28,28,28,27,25,24,24,23,19,16
31,31,30,29,28,28,28,28,28,27,25,24,24,23,19
104,31,31,30,29,28,28,28,28,28,27,25,24,24,23
204,104,31,31,30,29,28,28,28,28,28,27,25,24,24
433,204,104,31,31,30,29,28,28,28,28,28,27,25,24
602,433,204,104,31,31,30,29,28,28,28,28,28,27,25
833,602,433,204,104,31,31,30,29,28,28,28,28,28,27
977,833,602,433,204,104,31,31,30,29,28,28,28,28,28
1261,977,833,602,433,204,104,31,31,30,29,28,28,28,28
1766,1261,977,833,602,433,204,104,31,31,30,29,28,28,28
2337,1766,1261,977,833,602,433,204,104,31,31,30,29,28,28
3150,2337,1766,1261,977,833,602,433,204,104,31,31,30,29,28
3736,3150,2337,1766,1261,977,833,602,433,204,104,31,31,30,29
4335,3736,3150,2337,1766,1261,977,833,602,433,204,104,31,31,30
5186,4335,3736,3150,2337,1766,1261,977,833,602,433,204,104,31,31
5621,5186,4335,3736,3150,2337,1766,1261,977,833,602,433,204,104,31
6088,5621,5186,4335,3736,3150,2337,1766,1261,977,833,602,433,204,104
6593,6088,5621,5186,4335,3736,3150,2337,1766,1261,977,833,602,433,204
7041,6593,6088,5621,5186,4335,3736,3150,2337,1766,1261,977,833,602,433
7314,7041,6593,6088,5621,5186,4335,3736,3150,2337,1766,1261,977,833,602
7478,7314,7041,6593,6088,5621,5186,4335,3736,3150,2337,1766,1261,977,833
7513,7478,7314,7041,6593,6088,5621,5186,4335,3736,3150,2337,1766,1261,977
7755,7513,7478,7314,7041,6593,6088,5621,5186,4335,3736,3150,2337,1766,1261
7869,7755,7513,7478,7314,7041,6593,6088,5621,5186,4335,3736,3150,2337,1766
7979,7869,7755,7513,7478,7314,7041,6593,6088,5621,5186,4335,3736,3150,2337
8086,7979,7869,7755,7513,7478,7314,7041,6593,6088,5621,5186,4335,3736,3150
8162,8086,7979,7869,7755,7513,7478,7314,7041,6593,6088,5621,5186,4335,3736
