Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,6,2,2,2,2,2,2,2,2,2,2,2,2,2
15,13,6,2,2,2,2,2,2,2,2,2,2,2,2
32,15,13,6,2,2,2,2,2,2,2,2,2,2,2
45,32,15,13,6,2,2,2,2,2,2,2,2,2,2
84,45,32,15,13,6,2,2,2,2,2,2,2,2,2
120,84,45,32,15,13,6,2,2,2,2,2,2,2,2
165,120,84,45,32,15,13,6,2,2,2,2,2,2,2
222,165,120,84,45,32,15,13,6,2,2,2,2,2,2
259,222,165,120,84,45,32,15,13,6,2,2,2,2,2
400,259,222,165,120,84,45,32,15,13,6,2,2,2,2
500,400,259,222,165,120,84,45,32,15,13,6,2,2,2
673,500,400,259,222,165,120,84,45,32,15,13,6,2,2
1073,673,500,400,259,222,165,120,84,45,32,15,13,6,2
1695,1073,673,500,400,259,222,165,120,84,45,32,15,13,6
2277,1695,1073,673,500,400,259,222,165,120,84,45,32,15,13
2277,2277,1695,1073,673,500,400,259,222,165,120,84,45,32,15
5232,2277,2277,1695,1073,673,500,400,259,222,165,120,84,45,32
6391,5232,2277,2277,1695,1073,673,500,400,259,222,165,120,84,45
7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165,120,84
9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165,120
11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165
13910,11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222
17963,13910,11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259
20410,17963,13910,11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400
25374,20410,17963,13910,11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500
28768,25374,20410,17963,13910,11748,9942,7798,6391,5232,2277,2277,1695,1073,673
35136,28768,25374,20410,17963,13910,11748,9942,7798,6391,5232,2277,2277,1695,1073
39885,35136,28768,25374,20410,17963,13910,11748,9942,7798,6391,5232,2277,2277,1695
49515,39885,35136,28768,25374,20410,17963,13910,11748,9942,7798,6391,5232,2277,2277
57786,49515,39885,35136,28768,25374,20410,17963,13910,11748,9942,7798,6391,5232,2277
65719,57786,49515,39885,35136,28768,25374,20410,17963,13910,11748,9942,7798,6391,5232
73235,65719,57786,49515,39885,35136,28768,25374,20410,17963,13910,11748,9942,7798,6391
80110,73235,65719,57786,49515,39885,35136,28768,25374,20410,17963,13910,11748,9942,7798
87956,80110,73235,65719,57786,49515,39885,35136,28768,25374,20410,17963,13910,11748,9942
95923,87956,80110,73235,65719,57786,49515,39885,35136,28768,25374,20410,17963,13910,11748
104118,95923,87956,80110,73235,65719,57786,49515,39885,35136,28768,25374,20410,17963,13910
112065,104118,95923,87956,80110,73235,65719,57786,49515,39885,35136,28768,25374,20410,17963
119199,112065,104118,95923,87956,80110,73235,65719,57786,49515,39885,35136,28768,25374,20410
126168,119199,112065,104118,95923,87956,80110,73235,65719,57786,49515,39885,35136,28768,25374
131646,126168,119199,112065,104118,95923,87956,80110,73235,65719,57786,49515,39885,35136,28768
136675,131646,126168,119199,112065,104118,95923,87956,80110,73235,65719,57786,49515,39885,35136
141942,136675,131646,126168,119199,112065,104118,95923,87956,80110,73235,65719,57786,49515,39885
148220,141942,136675,131646,126168,119199,112065,104118,95923,87956,80110,73235,65719,57786,49515
153222,148220,141942,136675,131646,126168,119199,112065,104118,95923,87956,80110,73235,65719,57786
158273,153222,148220,141942,136675,131646,126168,119199,112065,104118,95923,87956,80110,73235,65719
163027,158273,153222,148220,141942,136675,131646,126168,119199,112065,104118,95923,87956,80110,73235
166831,163027,158273,153222,148220,141942,136675,131646,126168,119199,112065,104118,95923,87956,80110
170099,166831,163027,158273,153222,148220,141942,136675,131646,126168,119199,112065,104118,95923,87956
172541,170099,166831,163027,158273,153222,148220,141942,136675,131646,126168,119199,112065,104118,95923
177644,172541,170099,166831,163027,158273,153222,148220,141942,136675,131646,126168,119199,112065,104118
184948,177644,172541,170099,166831,163027,158273,153222,148220,141942,136675,131646,126168,119199,112065
190839,184948,177644,172541,170099,166831,163027,158273,153222,148220,141942,136675,131646,126168,119199
191726,190839,184948,177644,172541,170099,166831,163027,158273,153222,148220,141942,136675,131646,126168
198674,191726,190839,184948,177644,172541,170099,166831,163027,158273,153222,148220,141942,136675,131646
200210,198674,191726,190839,184948,177644,172541,170099,166831,163027,158273,153222,148220,141942,136675
204178,200210,198674,191726,190839,184948,177644,172541,170099,166831,163027,158273,153222,148220,141942
208389,204178,200210,198674,191726,190839,184948,177644,172541,170099,166831,163027,158273,153222,148220
213024,208389,204178,200210,198674,191726,190839,184948,177644,172541,170099,166831,163027,158273,153222
219764,213024,208389,204178,200210,198674,191726,190839,184948,177644,172541,170099,166831,163027,158273
223759,219764,213024,208389,204178,200210,198674,191726,190839,184948,177644,172541,170099,166831,163027
226629,223759,219764,213024,208389,204178,200210,198674,191726,190839,184948,177644,172541,170099,166831
229422,226629,223759,219764,213024,208389,204178,200210,198674,191726,190839,184948,177644,172541,170099
