Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
9,9,9,8,8,3,3,3,2,2,2,2,2,2,2
9,9,9,9,8,8,3,3,3,2,2,2,2,2,2
9,9,9,9,9,8,8,3,3,3,2,2,2,2,2
9,9,9,9,9,9,8,8,3,3,3,2,2,2,2
9,9,9,9,9,9,9,8,8,3,3,3,2,2,2
9,9,9,9,9,9,9,9,8,8,3,3,3,2,2
9,9,9,9,9,9,9,9,9,8,8,3,3,3,2
9,9,9,9,9,9,9,9,9,9,8,8,3,3,3
9,9,9,9,9,9,9,9,9,9,9,8,8,3,3
9,9,9,9,9,9,9,9,9,9,9,9,8,8,3
13,9,9,9,9,9,9,9,9,9,9,9,9,8,8
13,13,9,9,9,9,9,9,9,9,9,9,9,9,8
13,13,13,9,9,9,9,9,9,9,9,9,9,9,9
15,13,13,13,9,9,9,9,9,9,9,9,9,9,9
20,15,13,13,13,9,9,9,9,9,9,9,9,9,9
23,20,15,13,13,13,9,9,9,9,9,9,9,9,9
36,23,20,15,13,13,13,9,9,9,9,9,9,9,9
40,36,23,20,15,13,13,13,9,9,9,9,9,9,9
51,40,36,23,20,15,13,13,13,9,9,9,9,9,9
86,51,40,36,23,20,15,13,13,13,9,9,9,9,9
116,86,51,40,36,23,20,15,13,13,13,9,9,9,9
164,116,86,51,40,36,23,20,15,13,13,13,9,9,9
207,164,116,86,51,40,36,23,20,15,13,13,13,9,9
274,207,164,116,86,51,40,36,23,20,15,13,13,13,9
322,274,207,164,116,86,51,40,36,23,20,15,13,13,13
384,322,274,207,164,116,86,51,40,36,23,20,15,13,13
459,384,322,274,207,164,116,86,51,40,36,23,20,15,13
630,459,384,322,274,207,164,116,86,51,40,36,23,20,15
802,630,459,384,322,274,207,164,116,86,51,40,36,23,20
1144,802,630,459,384,322,274,207,164,116,86,51,40,36,23
1348,1144,802,630,459,384,322,274,207,164,116,86,51,40,36
1551,1348,1144,802,630,459,384,322,274,207,164,116,86,51,40
1960,1551,1348,1144,802,630,459,384,322,274,207,164,116,86,51
2642,1960,1551,1348,1144,802,630,459,384,322,274,207,164,116,86
3328,2642,1960,1551,1348,1144,802,630,459,384,322,274,207,164,116
4014,3328,2642,1960,1551,1348,1144,802,630,459,384,322,274,207,164
5067,4014,3328,2642,1960,1551,1348,1144,802,630,459,384,322,274,207
5745,5067,4014,3328,2642,1960,1551,1348,1144,802,630,459,384,322,274
6726,5745,5067,4014,3328,2642,1960,1551,1348,1144,802,630,459,384,322
8164,6726,5745,5067,4014,3328,2642,1960,1551,1348,1144,802,630,459,384
9640,8164,6726,5745,5067,4014,3328,2642,1960,1551,1348,1144,802,630,459
11812,9640,8164,6726,5745,5067,4014,3328,2642,1960,1551,1348,1144,802,630
14745,11812,9640,8164,6726,5745,5067,4014,3328,2642,1960,1551,1348,1144,802
17312,14745,11812,9640,8164,6726,5745,5067,4014,3328,2642,1960,1551,1348,1144
19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,3328,2642,1960,1551,1348
22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,3328,2642,1960,1551
25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,3328,2642,1960
29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,3328,2642
34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,3328
38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014
42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067
48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745
52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164,6726
55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640,8164
61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812,9640
65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745,11812
74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312,14745
79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780,17312
85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453,19780
89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481,22453
94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865,25481
99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173,29865
104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689,34173
109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477,38689
115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436,42477
121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279,48436
125856,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949,52279
130172,125856,121172,115314,109769,104145,99483,94845,89570,85206,79874,74605,65872,61474,55949
