Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
11,11,11,8,8,7,5,5,5,5,5,2,2,1,1
11,11,11,11,8,8,7,5,5,5,5,5,2,2,1
11,11,11,11,11,8,8,7,5,5,5,5,5,2,2
11,11,11,11,11,11,8,8,7,5,5,5,5,5,2
11,11,11,11,11,11,11,8,8,7,5,5,5,5,5
11,11,11,11,11,11,11,11,8,8,7,5,5,5,5
12,11,11,11,11,11,11,11,11,8,8,7,5,5,5
12,12,11,11,11,11,11,11,11,11,8,8,7,5,5
13,12,12,11,11,11,11,11,11,11,11,8,8,7,5
13,13,12,12,11,11,11,11,11,11,11,11,8,8,7
13,13,13,12,12,11,11,11,11,11,11,11,11,8,8
13,13,13,13,12,12,11,11,11,11,11,11,11,11,8
13,13,13,13,13,12,12,11,11,11,11,11,11,11,11
13,13,13,13,13,13,12,12,11,11,11,11,11,11,11
13,13,13,13,13,13,13,12,12,11,11,11,11,11,11
13,13,13,13,13,13,13,13,12,12,11,11,11,11,11
15,13,13,13,13,13,13,13,13,12,12,11,11,11,11
15,15,13,13,13,13,13,13,13,13,12,12,11,11,11
15,15,15,13,13,13,13,13,13,13,13,12,12,11,11
51,15,15,15,13,13,13,13,13,13,13,13,12,12,11
51,51,15,15,15,13,13,13,13,13,13,13,13,12,12
57,51,51,15,15,15,13,13,13,13,13,13,13,13,12
58,57,51,51,15,15,15,13,13,13,13,13,13,13,13
60,58,57,51,51,15,15,15,13,13,13,13,13,13,13
68,60,58,57,51,51,15,15,15,13,13,13,13,13,13
74,68,60,58,57,51,51,15,15,15,13,13,13,13,13
98,74,68,60,58,57,51,51,15,15,15,13,13,13,13
118,98,74,68,60,58,57,51,51,15,15,15,13,13,13
149,118,98,74,68,60,58,57,51,51,15,15,15,13,13
217,149,118,98,74,68,60,58,57,51,51,15,15,15,13
262,217,149,118,98,74,68,60,58,57,51,51,15,15,15
402,262,217,149,118,98,74,68,60,58,57,51,51,15,15
518,402,262,217,149,118,98,74,68,60,58,57,51,51,15
583,518,402,262,217,149,118,98,74,68,60,58,57,51,51
959,583,518,402,262,217,149,118,98,74,68,60,58,57,51
1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57
1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58
2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60
2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68
3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74
4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98
6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118
7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149
13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217
19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262
25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402
33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518
43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583
53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959
65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281
83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663
101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179
121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727
140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499
161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632
188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421
213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783
243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747
275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273
308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600
336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843,33276
366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736,43843
397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778,53736
428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836,65778
462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657,83836
496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465,101657
526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909,121465
555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831,140909
580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172,161831
607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242,188172
636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622,213242
667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367,243622
699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650,275367
732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802,308650
758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317,336802
784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121,366317
811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654,397121
840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780,428654
869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535,462780
905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396,496535
938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313,526396
965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619,555313
988197,965785,938154,905358,869170,840351,811865,784326,758809,732197,699706,667592,636350,607670,580619
