,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/7/20,6,6,6,6,6,6,6,5,5,5,4,3,3,3,2
2/8/20,11,6,6,6,6,6,6,6,5,5,5,4,3,3,3
2/9/20,11,11,6,6,6,6,6,6,6,5,5,5,4,3,3
2/10/20,11,11,11,6,6,6,6,6,6,6,5,5,5,4,3
2/11/20,11,11,11,11,6,6,6,6,6,6,6,5,5,5,4
2/12/20,11,11,11,11,11,6,6,6,6,6,6,6,5,5,5
2/13/20,11,11,11,11,11,11,6,6,6,6,6,6,6,5,5
2/14/20,11,11,11,11,11,11,11,6,6,6,6,6,6,6,5
2/15/20,12,11,11,11,11,11,11,11,6,6,6,6,6,6,6
2/16/20,12,12,11,11,11,11,11,11,11,6,6,6,6,6,6
2/17/20,12,12,12,11,11,11,11,11,11,11,6,6,6,6,6
2/18/20,12,12,12,12,11,11,11,11,11,11,11,6,6,6,6
2/19/20,12,12,12,12,12,11,11,11,11,11,11,11,6,6,6
2/20/20,12,12,12,12,12,12,11,11,11,11,11,11,11,6,6
2/21/20,12,12,12,12,12,12,12,11,11,11,11,11,11,11,6
2/22/20,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11
2/23/20,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11
2/24/20,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11
2/25/20,14,12,12,12,12,12,12,12,12,12,12,11,11,11,11
2/26/20,18,14,12,12,12,12,12,12,12,12,12,12,11,11,11
2/27/20,38,18,14,12,12,12,12,12,12,12,12,12,12,11,11
2/28/20,57,38,18,14,12,12,12,12,12,12,12,12,12,12,11
2/29/20,100,57,38,18,14,12,12,12,12,12,12,12,12,12,12
3/1/20,130,100,57,38,18,14,12,12,12,12,12,12,12,12,12
3/2/20,191,130,100,57,38,18,14,12,12,12,12,12,12,12,12
3/3/20,204,191,130,100,57,38,18,14,12,12,12,12,12,12,12
3/4/20,288,204,191,130,100,57,38,18,14,12,12,12,12,12,12
3/5/20,380,288,204,191,130,100,57,38,18,14,12,12,12,12,12
3/6/20,656,380,288,204,191,130,100,57,38,18,14,12,12,12,12
3/7/20,959,656,380,288,204,191,130,100,57,38,18,14,12,12,12
3/8/20,1136,959,656,380,288,204,191,130,100,57,38,18,14,12,12
3/9/20,1219,1136,959,656,380,288,204,191,130,100,57,38,18,14,12
3/10/20,1794,1219,1136,959,656,380,288,204,191,130,100,57,38,18,14
3/11/20,2293,1794,1219,1136,959,656,380,288,204,191,130,100,57,38,18
3/12/20,2293,2293,1794,1219,1136,959,656,380,288,204,191,130,100,57,38
3/13/20,3681,2293,2293,1794,1219,1136,959,656,380,288,204,191,130,100,57
3/14/20,4496,3681,2293,2293,1794,1219,1136,959,656,380,288,204,191,130,100
3/15/20,4532,4496,3681,2293,2293,1794,1219,1136,959,656,380,288,204,191,130
3/16/20,6683,4532,4496,3681,2293,2293,1794,1219,1136,959,656,380,288,204,191
3/17/20,7715,6683,4532,4496,3681,2293,2293,1794,1219,1136,959,656,380,288,204
3/18/20,9124,7715,6683,4532,4496,3681,2293,2293,1794,1219,1136,959,656,380,288
3/19/20,10970,9124,7715,6683,4532,4496,3681,2293,2293,1794,1219,1136,959,656,380
3/20/20,12758,10970,9124,7715,6683,4532,4496,3681,2293,2293,1794,1219,1136,959,656
3/21/20,14463,12758,10970,9124,7715,6683,4532,4496,3681,2293,2293,1794,1219,1136,959
3/22/20,16243,14463,12758,10970,9124,7715,6683,4532,4496,3681,2293,2293,1794,1219,1136
3/23/20,20123,16243,14463,12758,10970,9124,7715,6683,4532,4496,3681,2293,2293,1794,1219
3/24/20,22622,20123,16243,14463,12758,10970,9124,7715,6683,4532,4496,3681,2293,2293,1794
3/25/20,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,4532,4496,3681,2293,2293
3/26/20,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,4532,4496,3681,2293
3/27/20,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,4532,4496,3681
3/28/20,38105,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,4532,4496
