,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/5/20,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434,941,654,555
2/6/20,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434,941,654
2/7/20,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434,941
2/8/20,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118,1434
2/9/20,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927,2118
2/10/20,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578,2927
2/11/20,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166,5578
2/12/20,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234,6166
2/13/20,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927,8234
2/14/20,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038,9927
2/15/20,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787,12038
2/16/20,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881,16787
2/17/20,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892,19881
2/18/20,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635,23892
2/19/20,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794,27635
2/20/20,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391,30794
2/21/20,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120,34391
2/22/20,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150,37120
2/23/20,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762,40150
2/24/20,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802,42762
2/25/20,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221,44802
2/26/20,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368,45221
2/27/20,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885,60368
2/28/20,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030,66885
2/29/20,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224,69030
3/1/20,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258,71224
3/2/20,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136,73258
3/3/20,92840,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639,75136
3/4/20,95120,92840,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197,75639
3/5/20,97886,95120,92840,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819,76197
3/6/20,101801,97886,95120,92840,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572,76819
3/7/20,105847,101801,97886,95120,92840,90306,88369,86011,84112,82746,81388,80406,79561,78958,78572
3/8/20,109821,105847,101801,97886,95120,92840,90306,88369,86011,84112,82746,81388,80406,79561,78958
3/9/20,113590,109821,105847,101801,97886,95120,92840,90306,88369,86011,84112,82746,81388,80406,79561
3/10/20,118620,113590,109821,105847,101801,97886,95120,92840,90306,88369,86011,84112,82746,81388,80406
3/11/20,125875,118620,113590,109821,105847,101801,97886,95120,92840,90306,88369,86011,84112,82746,81388
3/12/20,128352,125875,118620,113590,109821,105847,101801,97886,95120,92840,90306,88369,86011,84112,82746
3/13/20,145219,128352,125875,118620,113590,109821,105847,101801,97886,95120,92840,90306,88369,86011,84112
3/14/20,156116,145219,128352,125875,118620,113590,109821,105847,101801,97886,95120,92840,90306,88369,86011
3/15/20,167466,156116,145219,128352,125875,118620,113590,109821,105847,101801,97886,95120,92840,90306,88369
3/16/20,181603,167466,156116,145219,128352,125875,118620,113590,109821,105847,101801,97886,95120,92840,90306
3/17/20,197113,181603,167466,156116,145219,128352,125875,118620,113590,109821,105847,101801,97886,95120,92840
3/18/20,214846,197113,181603,167466,156116,145219,128352,125875,118620,113590,109821,105847,101801,97886,95120
3/19/20,242616,214846,197113,181603,167466,156116,145219,128352,125875,118620,113590,109821,105847,101801,97886
3/20/20,272247,242616,214846,197113,181603,167466,156116,145219,128352,125875,118620,113590,109821,105847,101801
3/21/20,304555,272247,242616,214846,197113,181603,167466,156116,145219,128352,125875,118620,113590,109821,105847
3/22/20,337018,304555,272247,242616,214846,197113,181603,167466,156116,145219,128352,125875,118620,113590,109821
3/23/20,378282,337018,304555,272247,242616,214846,197113,181603,167466,156116,145219,128352,125875,118620,113590
3/24/20,418079,378282,337018,304555,272247,242616,214846,197113,181603,167466,156116,145219,128352,125875,118620
3/25/20,467723,418079,378282,337018,304555,272247,242616,214846,197113,181603,167466,156116,145219,128352,125875
3/26/20,529701,467723,418079,378282,337018,304555,272247,242616,214846,197113,181603,167466,156116,145219,128352
3/27/20,593423,529701,467723,418079,378282,337018,304555,272247,242616,214846,197113,181603,167466,156116,145219
3/28/20,660824,593423,529701,467723,418079,378282,337018,304555,272247,242616,214846,197113,181603,167466,156116
3/29/20,720285,660824,593423,529701,467723,418079,378282,337018,304555,272247,242616,214846,197113,181603,167466
3/30/20,782490,720285,660824,593423,529701,467723,418079,378282,337018,304555,272247,242616,214846,197113,181603
