,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/14/20,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
2/15/20,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
2/16/20,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
2/17/20,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
2/18/20,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
2/19/20,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
2/20/20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2/21/20,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/22/20,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3
2/23/20,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3
2/24/20,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3
2/25/20,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3
2/26/20,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3
2/27/20,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3
2/28/20,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3
2/29/20,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3
3/1/20,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3
3/2/20,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3
3/3/20,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3
3/4/20,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3
3/5/20,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3
3/6/20,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20
3/7/20,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62
3/8/20,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155
3/9/20,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229
3/10/20,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322
3/11/20,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453
3/12/20,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655
3/13/20,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888
3/14/20,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128
3/15/20,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694
3/16/20,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036
3/17/20,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502
3/18/20,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089
3/19/20,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858
3/20/20,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636
3/21/20,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883
3/22/20,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375
3/23/20,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172
3/24/20,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149
3/25/20,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462
3/26/20,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462
3/27/20,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660
3/28/20,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157
3/29/20,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747
3/30/20,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980
3/31/20,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506
4/1/20,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713
4/2/20,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035
4/3/20,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021
4/4/20,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578
4/5/20,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138
4/6/20,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927
