,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/5/20,19,16,15,15,12,11,4,4,4,4,3,2,2,1,1
2/6/20,23,19,16,15,15,12,11,4,4,4,4,3,2,2,1
2/7/20,24,23,19,16,15,15,12,11,4,4,4,4,3,2,2
2/8/20,24,24,23,19,16,15,15,12,11,4,4,4,4,3,2
2/9/20,25,24,24,23,19,16,15,15,12,11,4,4,4,4,3
2/10/20,27,25,24,24,23,19,16,15,15,12,11,4,4,4,4
2/11/20,28,27,25,24,24,23,19,16,15,15,12,11,4,4,4
2/12/20,28,28,27,25,24,24,23,19,16,15,15,12,11,4,4
2/13/20,28,28,28,27,25,24,24,23,19,16,15,15,12,11,4
2/14/20,28,28,28,28,27,25,24,24,23,19,16,15,15,12,11
2/15/20,28,28,28,28,28,27,25,24,24,23,19,16,15,15,12
2/16/20,29,28,28,28,28,28,27,25,24,24,23,19,16,15,15
2/17/20,30,29,28,28,28,28,28,27,25,24,24,23,19,16,15
2/18/20,31,30,29,28,28,28,28,28,27,25,24,24,23,19,16
2/19/20,31,31,30,29,28,28,28,28,28,27,25,24,24,23,19
2/20/20,104,31,31,30,29,28,28,28,28,28,27,25,24,24,23
2/21/20,204,104,31,31,30,29,28,28,28,28,28,27,25,24,24
2/22/20,433,204,104,31,31,30,29,28,28,28,28,28,27,25,24
2/23/20,602,433,204,104,31,31,30,29,28,28,28,28,28,27,25
2/24/20,833,602,433,204,104,31,31,30,29,28,28,28,28,28,27
2/25/20,977,833,602,433,204,104,31,31,30,29,28,28,28,28,28
2/26/20,1261,977,833,602,433,204,104,31,31,30,29,28,28,28,28
2/27/20,1766,1261,977,833,602,433,204,104,31,31,30,29,28,28,28
2/28/20,2337,1766,1261,977,833,602,433,204,104,31,31,30,29,28,28
2/29/20,3150,2337,1766,1261,977,833,602,433,204,104,31,31,30,29,28
3/1/20,3736,3150,2337,1766,1261,977,833,602,433,204,104,31,31,30,29
3/2/20,4335,3736,3150,2337,1766,1261,977,833,602,433,204,104,31,31,30
3/3/20,5186,4335,3736,3150,2337,1766,1261,977,833,602,433,204,104,31,31
