,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
2/15/20,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
2/16/20,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
2/17/20,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
2/18/20,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
2/19/20,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
2/20/20,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2/21/20,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2/22/20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2/23/20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2/24/20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2/25/20,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2/26/20,13,6,2,2,2,2,2,2,2,2,2,2,2,2,2
2/27/20,15,13,6,2,2,2,2,2,2,2,2,2,2,2,2
2/28/20,32,15,13,6,2,2,2,2,2,2,2,2,2,2,2
2/29/20,45,32,15,13,6,2,2,2,2,2,2,2,2,2,2
3/1/20,84,45,32,15,13,6,2,2,2,2,2,2,2,2,2
3/2/20,120,84,45,32,15,13,6,2,2,2,2,2,2,2,2
3/3/20,165,120,84,45,32,15,13,6,2,2,2,2,2,2,2
3/4/20,222,165,120,84,45,32,15,13,6,2,2,2,2,2,2
3/5/20,259,222,165,120,84,45,32,15,13,6,2,2,2,2,2
3/6/20,400,259,222,165,120,84,45,32,15,13,6,2,2,2,2
3/7/20,500,400,259,222,165,120,84,45,32,15,13,6,2,2,2
3/8/20,673,500,400,259,222,165,120,84,45,32,15,13,6,2,2
3/9/20,1073,673,500,400,259,222,165,120,84,45,32,15,13,6,2
3/10/20,1695,1073,673,500,400,259,222,165,120,84,45,32,15,13,6
3/11/20,2277,1695,1073,673,500,400,259,222,165,120,84,45,32,15,13
3/12/20,2277,2277,1695,1073,673,500,400,259,222,165,120,84,45,32,15
3/13/20,5232,2277,2277,1695,1073,673,500,400,259,222,165,120,84,45,32
3/14/20,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165,120,84,45
3/15/20,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165,120,84
3/16/20,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165,120
3/17/20,11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165
3/18/20,13910,11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222
